AID,CID,InChIKey,SMILES,GeneID,Symbol,UniProtKB
1259369,11167,LGDSHSYDSCRFAB-UHFFFAOYSA-N,CN=C=S,2737,GLI3,P10071
1224895,6001,ARSRBNBHOADGJU-UHFFFAOYSA-N,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,7253,TSHR,P16473
644086,798,SIKJAQJRHWYJAI-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CN2,762,CA4,P22748
1259369,7005,KJCVRFUGPWSIIH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC=C2O,2737,GLI3,P10071
1671198,31404,NLZUEZXRPGMBCV-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,1559,CYP2C9,P11712
1546366,3893,POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)O,53831,GPR84,Q9NQS5
1259395,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,7253,TSHR,P16473
651741,8004,YWAKXRMUMFPDSH-UHFFFAOYSA-N,CCCC=C,4780,NFE2L2,Q16236
496921,996,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C1=CC=C(C=C1)O,768,CA9,Q16790
1671197,6829,YOJKKXRJMXIKSR-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=CC=C2[N+](=O)[O-],1557,CYP2C19,P33261
1259383,23284,OMVSWZDEEGIJJI-UHFFFAOYSA-N,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,2099,ESR1,P03372
743085,7471,GYVGXEWAOAAJEU-UHFFFAOYSA-N,CC1=CC=C(C=C1)N(C)C,196,AHR,P35869
588537,7543,IBOFVQJTBBUKMU-UHFFFAOYSA-N,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,5468,PPARG,P37231
1159555,16682746,APQHKWPGGHMYKJ-UHFFFAOYSA-N,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,5914,RARA,P10276
1159553,6001,ARSRBNBHOADGJU-UHFFFAOYSA-N,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,5914,RARA,P10276
1671197,7903,JSZOAYXJRCEYSX-UHFFFAOYSA-N,CCC[N+](=O)[O-],1557,CYP2C19,P33261
1224849,8418,MWPLVEDNUUSJAV-UHFFFAOYSA-N,C1=CC=C2C=C3C=CC=CC3=CC2=C1,2101,ESRRA,P11474
147083,412,MYKUKUCHPMASKF-UHFFFAOYSA-N,C1CC(NC1)C2=CN=CC=C2,1139,CHRNA7,P36544
1671197,6366,LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,1557,CYP2C19,P33261
1671197,47326,XQUXKZZNEFRCAW-UHFFFAOYSA-N,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,1557,CYP2C19,P33261
625203,8447,AFZSMODLJJCVPP-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,152,ADRA2C,P18825
1259369,679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,2737,GLI3,P10071
743122,11769,CUARLQDWYSRQDF-UHFFFAOYSA-N,C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-],196,AHR,P35869
1671197,7017,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=CC=C2O,1557,CYP2C19,P33261
1224848,8606,LDVVMCZRFWMZSG-UHFFFAOYSA-N,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,2101,ESRRA,P11474
743063,39327,OQMBBFQZGJFLBU-UHFFFAOYSA-N,CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],367,AR,P10275
2120,5889,LHRCREOYAASXPZ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,3091,HIF1A,Q16665
