CanonicalSMILES,InChIKey,UniProtKB
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,IQPNAANSBPBGFQ-UHFFFAOYSA-N,P05181
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,P05181
C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,DXDRHHKMWQZJHT-FPYGCLRLSA-N,P05181
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O,HKEAFJYKMMKDOR-VPRICQMDSA-N,P05181
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,CKAPSXZOOQJIBF-UHFFFAOYSA-N,P05181
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,CWVRJTMFETXNAD-JUHZACGLSA-N,P05181
C1=CC(=C(C=C1C=CC(=O)O)O)O,QAIPRVGONGVQAS-DUXPYHPUSA-N,P05181
CNC(=S)NC,VLCDUOXHFNUCKK-UHFFFAOYSA-N,P05181
CN(C)N=O,UMFJAHHVKNCGLG-UHFFFAOYSA-N,P05181
CC(=S)N,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,P05181
CC1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,RWQKHEORZBHNRI-BMIGLBTASA-N,P05181
C1=CC=C(C=C1)CCN=C=S,IZJDOKYDEWTZSO-UHFFFAOYSA-N,P05181
CS(=O)CCCCN=C=S,SUVMJBTUFCVSAD-UHFFFAOYSA-N,P05181
C=CCSCC=C,UBJVUCKUDDKUJF-UHFFFAOYSA-N,P05181
C=CCSSCC=C,PFRGXCVKLLPLIP-UHFFFAOYSA-N,P05181
CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C,ZYZCGGRZINLQBL-GWRQVWKTSA-N,P05181
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,MIJYXULNPSFWEK-GTOFXWBISA-N,P05181
CCN(CC)C(=S)S,LMBWSYZSUOEYSN-UHFFFAOYSA-N,P05181
C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],YKSNLCVSTHTHJA-UHFFFAOYSA-L,P05181
CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,SMEROWZSTRWXGI-HVATVPOCSA-N,P05181
CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,KXGVEGMKQFWNSR-LLQZFEROSA-N,P05181
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,RUDATBOHQWOJDD-UZVSRGJWSA-N,P05181
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,P05181
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,IISBACLAFKSPIT-UHFFFAOYSA-N,P05181
C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl,AUGNBQPSMWGAJE-UHFFFAOYSA-N,P05181
CC(=CC(=O)NC)OP(=O)(OC)OC,KRTSDMXIXPKRQR-AATRIKPKSA-N,P05181
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,KAATUXNTWXVJKI-UHFFFAOYSA-N,P05181
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,OWZREIFADZCYQD-NSHGMRRFSA-N,P05181
CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,QQODLKZGRKWIFG-UHFFFAOYSA-N,P05181
CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,NYPJDWWKZLNGGM-UHFFFAOYSA-N,P05181
C1=CC(=CC=C1OC2=C(C=C(C=N2)Cl)Cl)OC3=C(C=C(C=N3)Cl)Cl,BAFKRPOFIYPKBQ-UHFFFAOYSA-N,P05181
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,DDBREPKUVSBGFI-UHFFFAOYSA-N,P05181
CN(CCCC(=O)C1=CN=CC=C1)N=O,FLAQQSHRLBFIEZ-UHFFFAOYSA-N,P05181
