PubchemCTD,CID,CanonicalSMILES,InChIKey
D013852,5453,C1CN1P(=S)(N2CC2)N3CC3,FOCVUCIESVLUNU-UHFFFAOYSA-N
D002110,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,RYYVLZVUVIJVGH-UHFFFAOYSA-N
D000638,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
D001629,39042,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,IIBYAHWJQTYFKB-UHFFFAOYSA-N
D015248,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,HEMJJKBWTPKOJG-UHFFFAOYSA-N
D011345,3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,YMTINGFKWWXKFG-UHFFFAOYSA-N
C060836,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,HYAFETHFCAUJAY-UHFFFAOYSA-N
C089730,77999,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,YASAKCUCGLMORW-UHFFFAOYSA-N
D002994,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,KNHUKKLJHYUCFP-UHFFFAOYSA-N
C057693,5591,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,GXPHKUHSUJUWKP-UHFFFAOYSA-N
C006253,5694,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,SZRPDCCEHVWOJX-UHFFFAOYSA-N
D002784,5997,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,HVYWMOMLDIMFJA-DPAQBDIFSA-N
D015736,3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,RZTAMFZIAATZDJ-UHFFFAOYSA-N
D005054,3314,COC1=C(C=CC(=C1)CC=C)O,RRAFCDWBNXTKKO-UHFFFAOYSA-N
C016517,3712,C1=CC=C2C(=C1)C(=CN2)CO,IVYPNXXAYMYVSP-UHFFFAOYSA-N
C055494,5281787,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O,SWUARLUWKZWEBQ-VQHVLOKHSA-N
C011512,11790,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,VFMMPHCGEFXGIP-UHFFFAOYSA-N
D013654,1123,C(CS(=O)(=O)O)N,XOAAWQZATWQOTB-UHFFFAOYSA-N
C115461,4306515,COC1=CC=C(C=C1)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)Cl,PQUGCKBLVKJMNT-UHFFFAOYSA-N
D009173,6441022,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OCCN3CCOCC3)O.Cl,OWLCGJBUTJXNOF-HDNKIUSMSA-N
C063170,64927,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,QKICWELGRMTQCR-UHFFFAOYSA-N
C053876,119461,CC(C)OC1=CC2=C(C=C1)C(=O)C3=C(O2)C=CC(=C3)C(=O)O,AQFFXPQJLZFABJ-UHFFFAOYSA-N
